npoin  nele  nsec npfix  nlod   nstr
 2500  4800     1    50     3      1
  sec               t               E              po           alpha           gamma        gkh        gkv
    1   5.0000000e+01   3.2500000e+08   2.0000000e-01   1.0000000e-05   2.4000000e+01      0.000      1.000
 node               x               y              fx              fy          deltaT   kox   koy
   59   8.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   60   9.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   61   1.0000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   62   1.1000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   63   1.2000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   64   1.3000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   65   1.4000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   66   1.5000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   67   1.6000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   68   1.7000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   69   1.8000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   70   1.9000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   71   2.0000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   72   2.1000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   73   2.2000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   74   2.3000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   75   2.4000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   76   2.5000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   77   2.6000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   78   2.7000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   79   2.8000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   80   2.9000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   81   3.0000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   82   3.1000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   83   3.2000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   84   3.3000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   85   3.4000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   86   3.5000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   87   3.6000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   88   3.7000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   89   3.8000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   90   3.9000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   91   4.0000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   92   4.1000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   93   4.2000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   94   4.3000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   95   4.4000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   96   4.5000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   97   4.6000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   98   4.7000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
   99   4.8000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  100   4.9000000e+01   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  101   0.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  102   1.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  103   2.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  104   3.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  105   4.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  106   5.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  107   6.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  108   7.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  109   8.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  110   9.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  111   1.0000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  112   1.1000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  113   1.2000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  114   1.3000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  115   1.4000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  116   1.5000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  117   1.6000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  118   1.7000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  119   1.8000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  120   1.9000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  121   2.0000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  122   2.1000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  123   2.2000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  124   2.3000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  125   2.4000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  126   2.5000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  127   2.6000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  128   2.7000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  129   2.8000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  130   2.9000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  131   3.0000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  132   3.1000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  133   3.2000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  134   3.3000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  135   3.4000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  136   3.5000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  137   3.6000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  138   3.7000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  139   3.8000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  140   3.9000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  141   4.0000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  142   4.1000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  143   4.2000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  144   4.3000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  145   4.4000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  146   4.5000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  147   4.6000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  148   4.7000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  149   4.8000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  150   4.9000000e+01   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  151   0.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  152   1.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  153   2.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  154   3.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  155   4.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  156   5.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  157   6.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  158   7.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  159   8.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  160   9.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  161   1.0000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  162   1.1000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  163   1.2000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  164   1.3000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  165   1.4000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  166   1.5000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  167   1.6000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  168   1.7000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  169   1.8000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  170   1.9000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  171   2.0000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  172   2.1000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  173   2.2000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  174   2.3000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  175   2.4000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  176   2.5000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  177   2.6000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  178   2.7000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  179   2.8000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  180   2.9000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  181   3.0000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  182   3.1000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  183   3.2000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  184   3.3000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  185   3.4000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  186   3.5000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  187   3.6000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  188   3.7000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  189   3.8000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  190   3.9000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  191   4.0000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  192   4.1000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  193   4.2000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  194   4.3000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  195   4.4000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  196   4.5000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  197   4.6000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  198   4.7000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  199   4.8000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  200   4.9000000e+01   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  201   0.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
